"ETHNICITY","Ethnic group","YEAR","Year","SEX","Sex","AREA","Area","AGE","Age group",Value,Flags
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1229","Omokoroa","999999","Total people - age group",1968,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1231","Plummers Point","999999","Total people - age group",132,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1232","Te Puna West","999999","Total people - age group",378,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1238","Inlet Tauranga City","999999","Total people - age group",9,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1239","Tauranga","999999","Total people - age group",103872,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1240","Mamaku","999999","Total people - age group",726,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1241","Hamurana","999999","Total people - age group",963,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1246","Rotorua","999999","Total people - age group",49617,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1247","Inland water Rotorua District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1248","Rotoiti","999999","Total people - age group",495,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1249","Lake Okareka","999999","Total people - age group",519,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1254","Matata","999999","Total people - age group",642,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1255","Edgecumbe","999999","Total people - age group",1626,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1256","Te Teko","999999","Total people - age group",447,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1257","Whakatane","999999","Total people - age group",14694,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1258","Ohope","999999","Total people - age group",2853,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1263","Kawerau","999999","Total people - age group",6921,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1264","Inlet Opotiki District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1265","Ohiwa","999999","Total people - age group",177,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1266","Opotiki","999999","Total people - age group",4443,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1271","Ruatoria","999999","Total people - age group",723,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1272","Other rural Gisborne District","999999","Total people - age group",9516,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1273","Te Karaka","999999","Total people - age group",546,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1274","Tokomaru Bay","999999","Total people - age group",498,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1279","Inland water Wairoa District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1280","Tuai","999999","Total people - age group",243,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1281","Other rural Wairoa District","999999","Total people - age group",3189,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1282","Frasertown","999999","Total people - age group",249,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1283","Wairoa","999999","Total people - age group",4314,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1288","Hastings","999999","Total people - age group",39216,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1289","Clive","999999","Total people - age group",1875,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1290","Whakatu","999999","Total people - age group",591,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1291","Haumoana","999999","Total people - age group",1200,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1296","Napier","999999","Total people - age group",55359,
